,street,id,coordinates,address,region
1575,1-й Вешняковский проезд,1,"37.78792,55.724312","город Москва, 1-й Вешняковский проезд, дом 2, строение 1",Рязанский район
1576,улица Дубки,1,"37.564913,55.819292","город Москва, улица Дубки, дом 6",no_region
1577,2-й Новокузнецкий переулок,1,"37.631775,55.734004","город Москва, 2-й Новокузнецкий переулок, дом 13/15, строение 1",район Замоскворечье
1578,улица Достоевского,1,"37.606784,55.783818","город Москва, улица Достоевского, дом 25, строение 1",Тверской район
1579,Черниговский переулок,1,"37.625981,55.743497","город Москва, Черниговский переулок, дом 9/13, строение 2",район Замоскворечье
1580,Сибирский проезд,1,"37.682826,55.729838","город Москва, Сибирский проезд, дом 2, корпус 27, строение 1",Таганский район
1581,Сеченовский переулок,1,"37.594692,55.740694","город Москва, Сеченовский переулок, дом 7А",район Хамовники
1582,Центральный проспект,1,"37.214768,55.990695","город Москва, город Зеленоград, Центральный проспект, дом 1",no_region
1583,Челюскинская улица,1,"37.706766,55.883807","город Москва, Челюскинская улица, дом 13",Лосиноостровский район
1584,Северодвинская улица,1,"37.675154,55.893647","город Москва, Северодвинская улица, дом 20",район Северное Медведково
1585,Чермянская улица,1,"37.638117,55.885241","город Москва, Чермянская улица, дом 2, строение 2",район Северное Медведково
1586,Чермянский проезд,1,"37.634946,55.887599","город Москва, Чермянский проезд, дом 5, строение 26",район Северное Медведково
1587,Черницынский проезд,1,"37.792654,55.819075","город Москва, Черницынский проезд, дом 3, строение 11",район Гольяново
1588,2-й Иртышский проезд,1,"37.765758,55.812772","город Москва, 2-й Иртышский проезд, дом 6, строение 1",район Гольяново
1589,Черноморский бульвар,1,"37.612317,55.646045","город Москва, Черноморский бульвар, дом 8",Нагорный район
1590,Большая Ширяевская улица,1,"37.687722,55.809332","город Москва, Большая Ширяевская улица, дом 11",район Сокольники
1591,5-й проезд Подбельского,1,"37.728685,55.817314","город Москва, 5-й проезд Подбельского, дом 2",район Богородское
1592,5-й проезд Марьиной Рощи,1,"37.620528,55.797761","город Москва, 5-й проезд Марьиной Рощи, дом 15А, строение 1",район Марьина Роща
1593,Чукотский проезд,1,"37.654089,55.868162","город Москва, Чукотский проезд, дом 6",Бабушкинский район
1594,Чуксин тупик,1,"37.557277,55.806985","город Москва, Чуксин тупик, дом 6",Тимирязевский район
1595,5-й Рощинский проезд,1,"37.612173,55.710626","город Москва, 5-й Рощинский проезд, дом 4",Даниловский район
1596,Хохловский переулок,1,"37.644091,55.755925","город Москва, Хохловский переулок, дом 10, строение 6",no_region
1597,6-й Лучевой просек,1,"37.679655,55.800387","город Москва, 6-й Лучевой просек, дом 6",no_region
1598,6-я Кожуховская улица,1,"37.67219,55.706482","город Москва, 6-я Кожуховская улица, дом 8",Южнопортовый район
1599,Сивашская улица,1,"37.606236,55.660379","город Москва, Сивашская улица, дом 2, корпус 1",район Зюзино
1600,Хавская улица,1,"37.614276,55.713446","город Москва, Хавская улица, дом 15",Даниловский район
1601,Большая Бутовская улица,1,"37.581855,55.543318","город Москва, Большая Бутовская улица, дом 9",район Южное Бутово
1602,Скатертный переулок,1,"37.594647,55.755753","город Москва, Скатертный переулок, дом 13",Пресненский район
1603,Большая Внуковская улица,1,"37.29267,55.615207","город Москва, Большая Внуковская улица, дом 2А, строение 9",no_region
1604,Хвалынский бульвар,1,"37.849257,55.700121","город Москва, Хвалынский бульвар, дом 4, корпус 4",район Выхино-Жулебино
1605,Синельниковская улица,1,"37.572423,55.542477","город Москва, Синельниковская улица, дом 47",район Южное Бутово
1606,7-й Ростовский переулок,1,"37.57492,55.74147","город Москва, 7-й Ростовский переулок, дом 16",район Хамовники
1607,Хилков переулок,1,"37.598079,55.737193","город Москва, Хилков переулок, дом 3А",район Хамовники
1608,Симферопольский проезд,1,"37.613952,55.665162","город Москва, Симферопольский проезд, дом 18",Нагорный район
1609,Хитровский переулок,1,"37.643363,55.753402","город Москва, Хитровский переулок, дом 3/1, строение 4",no_region
1610,Хлебный переулок,1,"37.597648,55.754664","город Москва, Хлебный переулок, дом 2/3, строение 3",Пресненский район
1611,6-я улица Новые Сады,1,"37.347233,55.652502","город Москва, 6-я улица Новые Сады, дом 2",район Ново-Переделкино
1612,Хлыновский тупик,1,"37.602957,55.758296","город Москва, Хлыновский тупик, дом 3, строение 1",Пресненский район
1613,Хованская улица,1,"37.622585,55.828576","город Москва, Хованская улица, владение 20",Останкинский район
1614,6-я улица Лазенки,1,"37.367823,55.664208","город Москва, 6-я улица Лазенки, дом 2, строение 2",район Ново-Переделкино
1615,Сверчков переулок,1,"37.639878,55.760226","город Москва, Сверчков переулок, дом 8, строение 1",Басманный район
1616,5-й Монетчиковский переулок,1,"37.632089,55.732033","город Москва, 5-й Монетчиковский переулок, дом 7",район Замоскворечье
1617,Шепелюгинская улица,1,"37.703631,55.745144","город Москва, Шепелюгинская улица, дом 21/13, строение 1",район Лефортово
1618,Ростокинская улица,1,"37.660727,55.835432","город Москва, Ростокинская улица, дом 3",район Ростокино
1619,Якиманский переулок,1,"37.609973,55.733493","город Москва, Якиманский переулок, дом 6, строение 1",район Якиманка
1620,Большой Предтеченский переулок,1,"37.566979,55.759805","город Москва, Большой Предтеченский переулок, дом 15/8, строение 1",Пресненский район
1621,Ялтинская улица,1,"37.610619,55.651364","город Москва, Ялтинская улица, дом 2",Нагорный район
1622,Янтарный проезд,1,"37.691647,55.872794","город Москва, Янтарный проезд, дом 2",Лосиноостровский район
1623,4-й Вятский переулок,1,"37.576241,55.801541","город Москва, 4-й Вятский переулок, дом 10",Савёловский район
1624,4-й Вешняковский проезд,1,"37.796445,55.718451","город Москва, 4-й Вешняковский проезд, дом 4, строение 1",Рязанский район
1625,3-я Черепковская улица,1,"37.376258,55.755621","город Москва, 3-я Черепковская улица, дом 15А, строение 5",район Кунцево
1626,Родниковая улица,1,"37.380992,55.634278","город Москва, Родниковая улица, дом 20, корпус 1",район Солнцево
1627,Ясногорская улица,1,"37.536428,55.61027","город Москва, Ясногорская улица, дом 2",район Ясенево
1628,Рижский проезд,1,"37.660611,55.814143","город Москва, Рижский проезд, дом 7",Алексеевский район
1629,Яузский бульвар,1,"37.643615,55.75095","город Москва, Яузский бульвар, дом 14/8",no_region
1630,Яхромская улица,1,"37.538916,55.883449","город Москва, Яхромская улица, дом 3",Дмитровский район
1631,Большой Симоновский переулок,1,"37.672729,55.728211","город Москва, Большой Симоновский переулок, дом 2",Таганский район
1632,Радужная улица,1,"37.668426,55.859266","город Москва, Радужная улица, дом 7",Бабушкинский район
1633,Большой Строченовский переулок,1,"37.630858,55.729077","город Москва, Большой Строченовский переулок, дом 7",район Замоскворечье
1634,Большой Полуярославский переулок,1,"37.663243,55.752607","город Москва, Большой Полуярославский переулок, дом 7",Таганский район
1635,Большой Николопесковский переулок,1,"37.590452,55.750028","город Москва, Большой Николопесковский переулок, дом 5",район Арбат
1636,Большая Юшуньская улица,1,"37.590452,55.64795","город Москва, Большая Юшуньская улица, дом 14",район Зюзино
1637,Юрловский проезд,1,"37.618965,55.870698","город Москва, Юрловский проезд, дом 17, строение 1",район Отрадное
1638,Большой Афанасьевский переулок,1,"37.59692,55.745149","город Москва, Большой Афанасьевский переулок, дом 3, строение 3",район Хамовники
1639,Садовнический проезд,1,"37.629206,55.741571","город Москва, Садовнический проезд, дом 6",район Замоскворечье
1640,Большой Знаменский переулок,1,"37.603433,55.745873","город Москва, Большой Знаменский переулок, дом 2, строение 26",район Хамовники
1641,Штурвальная улица,1,"37.444018,55.848316","город Москва, Штурвальная улица, дом 7, корпус 2",район Южное Тушино
1642,Шубинский переулок,1,"37.579735,55.746578","город Москва, Шубинский переулок, дом 2/3",район Арбат
1643,4-я Кабельная улица,1,"37.71875,55.740558","город Москва, 4-я Кабельная улица, дом 2А, строение 1",район Лефортово
1644,4-я Гражданская улица,1,"37.720762,55.807208","город Москва, 4-я Гражданская улица, дом 43, корпус 2",район Богородское
1645,Щёлковский проезд,1,"37.777176,55.807122","город Москва, Щёлковский проезд, дом 13",район Северное Измайлово
1646,Большой Казённый переулок,1,"37.655634,55.760373","город Москва, Большой Казённый переулок, дом 9",Басманный район
1647,Большой Кисельный переулок,1,"37.629466,55.764612","город Москва, Большой Кисельный переулок, дом 17/15, строение 1",Мещанский район
1648,Электрический переулок,1,"37.57687,55.771712","город Москва, Электрический переулок, дом 8, строение 2",Пресненский район
1649,4-й Рощинский проезд,1,"37.611643,55.707547","город Москва, 4-й Рощинский проезд, дом 11",Даниловский район
1650,Русаковская набережная,1,"37.698484,55.798323","город Москва, Русаковская набережная, дом 7",район Сокольники
1651,Рубцов переулок,1,"37.691638,55.772861","город Москва, Рубцов переулок, дом 10/14",Басманный район
1652,4-й Кожевнический переулок,1,"37.649085,55.725143","город Москва, 4-й Кожевнический переулок, дом 4",Даниловский район
1653,7-я Северная линия,1,"37.549759,55.938027","город Москва, 7-я Северная линия, дом 13",район Северный
1654,Скорняжный переулок,1,"37.642339,55.773256","город Москва, Скорняжный переулок, дом 3, строение 1",Красносельский район
1655,7-я улица Лазенки,1,"37.348904,55.661115","город Москва, 7-я улица Лазенки, дом 12, строение 2",район Ново-Переделкино
1656,Таможенный проезд,1,"37.67917,55.751852","город Москва, Таможенный проезд, дом 4",район Лефортово
1657,Тарусская улица,1,"37.533786,55.60938","город Москва, Тарусская улица, дом 10",район Ясенево
1658,Тарханская улица,1,"37.858887,55.684686","город Москва, Тарханская улица, дом 2",район Выхино-Жулебино
1659,Армавирская улица,1,"37.753398,55.67528","город Москва, Армавирская улица, дом 4",район Люблино
1660,Таёжная улица,1,"37.700559,55.880904","город Москва, Таёжная улица, дом 1",Лосиноостровский район
1661,Анненский проезд,1,"37.607637,55.802133","город Москва, Анненский проезд, дом 1, строение 1",район Марьина Роща
1662,Театральная аллея,1,"37.559883,55.793227","город Москва, Театральная аллея, дом 3, строение 1",район Аэропорт
1663,Басовская улица,1,"37.747568,55.738287","город Москва, Басовская улица, дом 16, строение 1",Нижегородский район
1664,Анненская улица,1,"37.608949,55.806211","город Москва, Анненская улица, дом 25, строение 1",район Марьина Роща
1665,Тенистый проезд,1,"37.640246,55.861105","город Москва, Тенистый проезд, дом 8",район Свиблово
1666,Тессинский переулок,1,"37.6494,55.750287","город Москва, Тессинский переулок, дом 4, строение 2",Таганский район
1667,Тестовская улица,1,"37.532098,55.74785","город Москва, Тестовская улица, дом 1",Пресненский район
1668,Тетеринский переулок,1,"37.650145,55.745341","город Москва, Тетеринский переулок, дом 2А",Таганский район
1669,Андроньевская площадь,1,"37.669477,55.747211","город Москва, Андроньевская площадь, дом 5/9",Таганский район
1670,Тимирязевский проезд,1,"37.552085,55.833976","город Москва, Тимирязевский проезд, дом 2",Тимирязевский район
1671,Тихая улица,1,"37.747963,55.684686","город Москва, Тихая улица, дом 30",район Люблино
1672,Старомарьинское шоссе,1,"37.610485,55.80316","город Москва, Старомарьинское шоссе, дом 5",район Марьина Роща
1673,Старомонетный переулок,1,"37.618507,55.739727","город Москва, Старомонетный переулок, дом 18",район Якиманка
1674,Тихвинский переулок,1,"37.595761,55.787705","город Москва, Тихвинский переулок, дом 3",Тверской район
1675,Староникольская улица,1,"37.544746,55.509844","город Москва, Староникольская улица, дом 14А",район Южное Бутово
1676,Стройковская улица,1,"37.67502,55.733457","город Москва, Стройковская улица, дом 5",Таганский район
1677,Аэрофлотская улица,1,"37.292095,55.610387","город Москва, Аэрофлотская улица, владение 2Б",no_region
1678,Базовая улица,1,"37.261857,55.61448","город Москва, Базовая улица, дом 2, корпус 1",район Внуково
1679,Сумская улица,1,"37.608005,55.623824","город Москва, Сумская улица, дом 2/12",район Чертаново Северное
1680,Ащеулов переулок,1,"37.634613,55.767701","город Москва, Ащеулов переулок, дом 9",Красносельский район
1681,Стрельбищенский переулок,1,"37.540245,55.759745","город Москва, Стрельбищенский переулок, дом 14",Пресненский район
1682,Астрадамский проезд,1,"37.560431,55.812651","город Москва, Астрадамский проезд, дом 5",Тимирязевский район
1683,Таганрогская улица,1,"37.755239,55.680488","город Москва, Таганрогская улица, дом 7",район Люблино
1684,Архангельский переулок,1,"37.637722,55.761259","город Москва, Архангельский переулок, дом 7, строение 1",Басманный район
1685,Стрелецкая улица,1,"37.597818,55.795545","город Москва, Стрелецкая улица, дом 2, строение 1",район Марьина Роща
1686,Столовый переулок,1,"37.594755,55.756756","город Москва, Столовый переулок, дом 10/2, строение 1",Пресненский район
1687,Балтийская улица,1,"37.516665,55.810425","город Москва, Балтийская улица, дом 10, корпус 2",район Аэропорт
1688,Банный проезд,1,"37.631137,55.786814","город Москва, Банный проезд, дом 3, строение 1",Мещанский район
1689,Барабанный переулок,1,"37.707673,55.783139","город Москва, Барабанный переулок, дом 3",район Соколиная Гора
1690,Старослободская улица,1,"37.669711,55.789836","город Москва, Старослободская улица, дом 8",район Сокольники
1691,Староалексеевская улица,1,"37.641836,55.810324","город Москва, Староалексеевская улица, дом 1",Алексеевский район
1692,Тихий тупик,1,"37.665282,55.738029","город Москва, Тихий тупик, дом 2",Таганский район
1693,Фруктовая улица,1,"37.612308,55.658439","город Москва, Фруктовая улица, дом 9",Нагорный район
1694,Солнечная аллея,1,"37.203494,55.983469","город Москва, город Зеленоград, Солнечная аллея, дом 8",no_region
1695,Уржумская улица,1,"37.667168,55.851839","город Москва, Уржумская улица, дом 4, строение 14",район Свиблово
1696,Соймоновский проезд,1,"37.604358,55.743233","город Москва, Соймоновский проезд, дом 5",район Хамовники
1697,Успенский переулок,1,"37.607116,55.769292","город Москва, Успенский переулок, дом 3, строение 4",Тверской район
1698,Библиотечная улица,1,"37.676717,55.745199","город Москва, Библиотечная улица, дом 29",Таганский район
1699,Утренняя улица,1,"37.792753,55.74747","город Москва, Утренняя улица, дом 12",район Новогиреево
1700,Учинская улица,1,"37.537119,55.885181","город Москва, Учинская улица, дом 10",Дмитровский район
1701,Фармацевтический проезд,1,"37.513997,55.832955","город Москва, Фармацевтический проезд, дом 1",район Коптево
1702,Федоскинская улица,1,"37.703739,55.868773","город Москва, Федоскинская улица, дом 4",Ярославский район
1703,Феодосийская улица,1,"37.575603,55.5636","город Москва, Феодосийская улица, дом 11А",район Северное Бутово
1704,8-я улица Соколиной Горы,1,"37.733257,55.768532","город Москва, 8-я улица Соколиной Горы, дом 5А",район Соколиная Гора
1705,8-й проезд Марьиной Рощи,1,"37.60452,55.802189","город Москва, 8-й проезд Марьиной Рощи, дом 30, строение 1",район Марьина Роща
1706,Филипповский переулок,1,"37.598573,55.75058","город Москва, Филипповский переулок, дом 15/5",район Арбат
1707,Богоявленский переулок,1,"37.623492,55.755596","город Москва, Богоявленский переулок, дом 6, строение 2",Тверской район
1708,Больничный переулок,1,"37.632053,55.785564","город Москва, Больничный переулок, дом 4",Мещанский район
1709,Фролов переулок,1,"37.635611,55.765063","город Москва, Фролов переулок, дом 2",Красносельский район
1710,Бескудниковский проезд,1,"37.55452,55.874905","город Москва, Бескудниковский проезд, дом 4А",Бескудниковский район
1711,Солнечногорский проезд,1,"37.52466,55.859165","город Москва, Солнечногорский проезд, дом 7А",Головинский район
1712,Андреево-Забелинская улица,1,"37.71071,55.81561","город Москва, Андреево-Забелинская улица, дом 28",район Богородское
1713,Авиационный переулок,1,"37.53879,55.800215","город Москва, Авиационный переулок, дом 5",район Аэропорт
1714,Стандартная улица,1,"37.572351,55.882868","город Москва, Стандартная улица, дом 4А",Алтуфьевский район
1715,Сретенский тупик,1,"37.633841,55.771327","город Москва, Сретенский тупик, дом 5",Красносельский район
1716,Средняя Калитниковская улица,1,"37.68465,55.735302","город Москва, Средняя Калитниковская улица, дом 22, строение 3",Таганский район
1717,Триумфальная площадь,1,"37.595402,55.768264","город Москва, Триумфальная площадь, дом 2, строение 1",Тверской район
1718,Алымов переулок,1,"37.712461,55.807193","город Москва, Алымов переулок, дом 15",район Богородское
1719,Троилинский переулок,1,"37.58411,55.748037","город Москва, Троилинский переулок, дом 3",район Арбат
1720,Средний Овчинниковский переулок,1,"37.630652,55.745134","город Москва, Средний Овчинниковский переулок, дом 1, строение 13",район Замоскворечье
1721,Средний Кондратьевский переулок,1,"37.577939,55.772725","город Москва, Средний Кондратьевский переулок, дом 8А",Пресненский район
1722,Спортивный проезд,1,"37.753847,55.684199","город Москва, Спортивный проезд, дом 3А",район Люблино
1723,Спартаковский переулок,1,"37.672379,55.778487","город Москва, Спартаковский переулок, дом 2, строение 1",Красносельский район
1724,Берниковская набережная,1,"37.651385,55.748812","город Москва, Берниковская набережная, дом 12, строение 1",Таганский район
1725,Тургеневская площадь,1,"37.635835,55.765311","город Москва, Тургеневская площадь, дом 2",Красносельский район
1726,Союзный проспект,1,"37.80338,55.750459","город Москва, Союзный проспект, дом 2",район Новогиреево
1727,Сормовский проезд,1,"37.804386,55.707111","город Москва, Сормовский проезд, дом 11, строение 8",район Выхино-Жулебино
1728,Бескудниковский переулок,1,"37.556882,55.862868","город Москва, Бескудниковский переулок, дом 4А",Бескудниковский район
1729,Пяловская улица,1,"37.540865,55.862631","город Москва, Пяловская улица, дом 7, строение 3",район Западное Дегунино
1730,Пыжёвский переулок,1,"37.622306,55.738982","город Москва, Пыжёвский переулок, дом 5, строение 1",район Якиманка
1731,3-я Северная линия,1,"37.553136,55.942575","город Москва, 3-я Северная линия, дом 3",район Северный
1732,2-я Квесисская улица,1,"37.574893,55.794629","город Москва, 2-я Квесисская улица, дом 23",Савёловский район
1733,2-я Дубровская улица,1,"37.671381,55.728986","город Москва, 2-я Дубровская улица, дом 3",Таганский район
1734,2-я Гражданская улица,1,"37.701062,55.813647","город Москва, 2-я Гражданская улица, дом 8",район Богородское
1735,улица Бориса Жигулёнкова,1,"37.732979,55.773586","город Москва, улица Бориса Жигулёнкова, дом 15",район Соколиная Гора
1736,улица Брусилова,1,"37.592779,55.502079","город Москва, улица Брусилова, дом 29, корпус 1",район Южное Бутово
1737, 104-й километр Московской Кольцевой Автодороги,1,no coordinates,"город Москва, 104-й километр Московской Кольцевой Автодороги, дом 6",no_region
1738,Верхняя улица,1,"37.574911,55.776856","город Москва, Верхняя улица, дом 3, корпус 2",район Беговой
1739,Озёрная аллея,1,"37.225134,55.986485","город Москва, город Зеленоград, Озёрная аллея, дом 8",район Савёлки
1740,2-й Щемиловский переулок,1,"37.608365,55.776826","город Москва, 2-й Щемиловский переулок, дом 4",Тверской район
1741,2-й Хуторской переулок,1,"37.577157,55.806125","город Москва, 2-й Хуторской переулок, дом 4/13",Савёловский район
1742,Норильская улица,1,"37.696453,55.875844","город Москва, Норильская улица, дом 4",Лосиноостровский район
1743,Винницкая улица,1,"37.49683,55.698041","город Москва, Винницкая улица, дом 1",район Раменки
1744,Новохорошёвский проезд,1,"37.496075,55.779656","город Москва, Новохорошёвский проезд, дом 12",район Хорошёво-Мнёвники
1745,улица Васильцовский Стан,1,"37.750712,55.713826","город Москва, улица Васильцовский Стан, дом 5, корпус 1",Рязанский район
1746,Волоцкой переулок,1,"37.352048,55.832535","город Москва, Волоцкой переулок, дом 15, корпус 2",район Митино
1747,Новосибирская улица,1,"37.821167,55.815752","город Москва, Новосибирская улица, дом 8",район Гольяново
1748,Олонецкий проезд,1,"37.662946,55.874279","город Москва, Олонецкий проезд, дом 6",Бабушкинский район
1749,Оренбургская улица,1,"37.875901,55.711032","город Москва, Оренбургская улица, дом 32, строение 5",район Косино-Ухтомский
1750,Новорублёвская улица,1,"37.36175,55.786996","город Москва, Новорублёвская улица, дом 1",no_region
1751,Орехово-Зуевский проезд,1,"37.745367,55.731206","город Москва, Орехово-Зуевский проезд, дом 4",Нижегородский район
1752,улица Анатолия Живова,1,"37.55187,55.760125","город Москва, улица Анатолия Живова, дом 10",Пресненский район
1753,Вагоноремонтная улица,1,"37.532762,55.896413","город Москва, Вагоноремонтная улица, дом 15А",Дмитровский район
1754,Варсонофьевский переулок,1,"37.62572,55.763194","город Москва, Варсонофьевский переулок, дом 6",Мещанский район
1755,улица Артюхиной,1,"37.739869,55.697488","город Москва, улица Артюхиной, дом 17",район Текстильщики
1756,2-я Филёвская улица,1,"37.490057,55.73923","город Москва, 2-я Филёвская улица, дом 13",район Филёвский Парк
1757,улица Атарбекова,1,"37.707934,55.796547","город Москва, улица Атарбекова, дом 4А",район Преображенское
1758,2-я Сокольническая улица,1,"37.683634,55.787928","город Москва, 2-я Сокольническая улица, дом 3",район Сокольники
1759,Отрадный проезд,1,"37.607421,55.853132","город Москва, Отрадный проезд, дом 2Б",район Отрадное
1760,Вербная улица,1,"37.776745,55.824319","город Москва, Вербная улица, дом 4, строение 1",район Метрогородок
1761,2-я Прядильная улица,1,"37.776916,55.79516","город Москва, 2-я Прядильная улица, дом 4",район Измайлово
1762,Верхний Золоторожский переулок,1,"37.679287,55.750388","город Москва, Верхний Золоторожский переулок, дом 2",район Лефортово
1763,улица Благуша,1,"37.723663,55.780532","город Москва, улица Благуша, дом 6",no_region
1764,улица Богданова,1,"37.392661,55.647686","город Москва, улица Богданова, дом 56Б",район Солнцево
1765,улица Богородский Вал,1,"37.701529,55.803509","город Москва, улица Богородский Вал, дом 3, строение 28",район Богородское
1766,2-я Напрудная улица,1,"37.688782,55.87944","город Москва, 2-я Напрудная улица, дом 17",Лосиноостровский район
1767,2-й Стрелецкий проезд,1,"37.605777,55.797326","город Москва, 2-й Стрелецкий проезд, дом 7",район Марьина Роща
1768,2-й Сетуньский проезд,1,"37.533005,55.73072","город Москва, 2-й Сетуньский проезд, дом 9",район Раменки
1769,улица Алексея Дикого,1,"37.810557,55.746375","город Москва, улица Алексея Дикого, дом 18А",район Новогиреево
1770,Высокая улица,1,"37.654385,55.679052","город Москва, Высокая улица, дом 6",район Нагатино-Садовники
1771,улица Гончарова,1,"37.586823,55.817668","город Москва, улица Гончарова, дом 15Б",Бутырский район
1772,Вяземская улица,1,"37.405534,55.712695","город Москва, Вяземская улица, дом 7",Можайский район
1773,2-й Лучевой просек,1,"37.674481,55.795676","город Москва, 2-й Лучевой просек, дом 2",no_region
1774,2-й Курьяновский проезд,1,"37.698762,55.652684","город Москва, 2-й Курьяновский проезд, дом 2",район Печатники
1775,Газгольдерная улица,1,"37.733635,55.728236","город Москва, Газгольдерная улица, дом 6",Нижегородский район
1776,2-й Красносельский переулок,1,"37.6698,55.784364","город Москва, 2-й Красносельский переулок, дом 18",Красносельский район
1777,Никитский переулок,1,"37.610772,55.757749","город Москва, Никитский переулок, дом 7, строение 2",Тверской район
1778,2-й Колобовский переулок,1,"37.616467,55.769276","город Москва, 2-й Колобовский переулок, дом 12",Тверской район
1779,улица Девятая Рота,1,"37.712596,55.791142","город Москва, улица Девятая Рота, дом 14",район Преображенское
1780,улица Демьяна Бедного,1,"37.48693,55.770401","город Москва, улица Демьяна Бедного, дом 4",район Хорошёво-Мнёвники
1781,Гаражная улица,1,"37.742142,55.759091","город Москва, Гаражная улица, дом 4",район Соколиная Гора
1782,2-й Кадашёвский переулок,1,"37.621902,55.743745","город Москва, 2-й Кадашёвский переулок, дом 16, строение 1",район Якиманка
1783,2-й Кабельный проезд,1,"37.716297,55.747723","город Москва, 2-й Кабельный проезд, дом 1",район Лефортово
1784,Гвардейская улица,1,"37.423204,55.724789","город Москва, Гвардейская улица, дом 15, корпус 1",Можайский район
1785,Нижний Таганский тупик,1,no coordinates,"Нижний Таганский тупик, дом 3, строение 1",no_region
1786,2-й Магистральный тупик,1,"37.524228,55.767332","город Москва, 2-й Магистральный тупик, дом 5А",Хорошёвский район
1787,Новобутовский проезд,1,"37.558858,55.553732","город Москва, Новобутовский проезд, владение 9, строение 1",район Южное Бутово
1788,Новопресненский переулок,1,"37.575316,55.766628","город Москва, Новопресненский переулок, дом 6",Пресненский район
1789,2-й Неопалимовский переулок,1,"37.582484,55.739336","город Москва, 2-й Неопалимовский переулок, дом 3",район Хамовники
1790,2-й Сельскохозяйственный проезд,1,"37.642186,55.833648","город Москва, 2-й Сельскохозяйственный проезд, дом 4, строение 1",район Ростокино
1791,2-й Рощинский проезд,1,"37.603002,55.706315","город Москва, 2-й Рощинский проезд, дом 8",Донской район
1792,Новоостаповская улица,1,"37.671813,55.718233","город Москва, Новоостаповская улица, дом 12, строение 2",Южнопортовый район
1793,2-й Полевой переулок,1,"37.68111,55.792179","город Москва, 2-й Полевой переулок, дом 2",район Сокольники
1794,улица Высоцкого,1,"37.652903,55.74373","город Москва, улица Высоцкого, дом 4",Таганский район
1795,Новолучанская улица,1,"37.35954,55.790403","город Москва, Новолучанская улица, дом 22, строение 1",no_region
1796,улица Гамалеи,1,"37.457124,55.800195","город Москва, улица Гамалеи, дом 17, корпус 1",район Щукино
1797,2-й Обыденский переулок,1,"37.603505,55.741333","город Москва, 2-й Обыденский переулок, дом 9",район Хамовники
1798,Воротниковский переулок,1,"37.601286,55.770416","город Москва, Воротниковский переулок, дом 11, строение 1",Тверской район
1799,2-й Новоподмосковный переулок,1,"37.509478,55.819049","город Москва, 2-й Новоподмосковный переулок, дом 8",Войковский район
1800,Стромынский переулок,1,"37.694055,55.793085","город Москва, Стромынский переулок, дом 4",район Сокольники
1801,Врачебный проезд,1,"37.458984,55.813642","город Москва, Врачебный проезд, дом 12",район Покровское-Стрешнево
1802,улица Генерала Ермолова,1,"37.518057,55.73479","город Москва, улица Генерала Ермолова, дом 4",район Дорогомилово
1803,Выползов переулок,1,"37.626861,55.779469","город Москва, Выползов переулок, дом 7, строение 2",Мещанский район
1804,Нововладыкинский проезд,1,"37.57492,55.851429","город Москва, Нововладыкинский проезд, дом 8, строение 5",район Отрадное
1805,Парусный проезд,1,"37.449884,55.846937","город Москва, Парусный проезд, дом 5, строение 1",район Южное Тушино
1806,Педагогическая улица,1,"37.666288,55.596122","город Москва, Педагогическая улица, дом 3",район Бирюлёво Восточное
1807,Пулковская улица,1,"37.487793,55.844935","город Москва, Пулковская улица, дом 6",Головинский район
1808,3-я Железногорская улица,1,"37.548267,55.5217","город Москва, 3-я Железногорская улица, дом 11А",район Южное Бутово
1809,Боровая улица,1,"37.714033,55.770877","город Москва, Боровая улица, дом 10, корпус 2",район Лефортово
1810,Боровский проезд,1,"37.38207,55.652258","город Москва, Боровский проезд, дом 17А",район Солнцево
1811,проезд Донелайтиса,1,"37.420482,55.846108","город Москва, проезд Донелайтиса, дом 30",район Южное Тушино
1812,проезд Досфлота,1,"37.459235,55.840841","город Москва, проезд Досфлота, дом 2, строение 1",район Южное Тушино
1813,3-й проезд Подбельского,1,"37.723187,55.81913","город Москва, 3-й проезд Подбельского, дом 22, корпус 3",район Богородское
1814,Ботанический переулок,1,"37.637668,55.77792","город Москва, Ботанический переулок, дом 5",Мещанский район
1815,проезд Нансена,1,"37.653235,55.849413","город Москва, проезд Нансена, владение 3Б",район Свиблово
1816,Посланников переулок,1,"37.683194,55.770831","город Москва, Посланников переулок, дом 9, строение 5",Басманный район
1817,Попов проезд,1,"37.697442,55.783185","город Москва, Попов проезд, дом 2",район Сокольники
1818,Полтавская улица,1,"37.573088,55.793677","город Москва, Полтавская улица, дом 3",Савёловский район
1819,Бродников переулок,1,"37.616189,55.737015","город Москва, Бродников переулок, дом 10, корпус 2",район Якиманка
1820,проезд Черепановых,1,"37.512802,55.833364","город Москва, проезд Черепановых, дом 6, строение 1",район Коптево
1821,3-й Угрешский проезд,1,"37.699822,55.712315","город Москва, 3-й Угрешский проезд, дом 8, строение 2",район Печатники
1822,проезд Якушкина,1,"37.611131,55.861029","город Москва, проезд Якушкина, дом 7",район Отрадное
1823,Полевая улица,1,no coordinates,"Полевая улица, дом 20",no_region
1824,Прибрежный проезд,1,"37.465263,55.873405","город Москва, Прибрежный проезд, дом 12",район Левобережный
1825,Большой Трёхсвятительский переулок,1,"37.646049,55.754978","город Москва, Большой Трёхсвятительский переулок, дом 4",no_region
